Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1679400077.890934,1679400077.891318,62.000000,0.000000,2085.641113,2164.230713,2259.871826,2091.794922,1946.282104,1924.743530,2060.641113,2476.025635,2810.512939,2074.358887,1865.640991,2181.923096,2122.051270,1976.794922,0.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.898743,1679400077.899026,63.000000,0.000000,2097.179443,2159.871826,2262.307617,2102.051270,1947.564087,1934.230713,2073.974365,2508.333252,2847.435791,2129.487061,1893.846191,2202.435791,2137.948730,1988.589722,0.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.906551,1679400077.906935,64.000000,0.000000,2084.743652,2146.153809,2258.205078,2098.589844,1974.615356,1942.307739,2083.718018,2518.718018,2844.615479,2147.307617,1897.435913,2205.000000,2124.102539,1994.615356,2271.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,16.000000,0.000000,0.007139,0.617554,-0.056213,0.784485,0.857038,0.104505,0.502503,-41.935692,14.943974,43.864697
1679400077.914359,1679400077.914743,65.000000,0.000000,2087.051270,2153.974365,2273.846191,2110.384521,2008.717896,1948.974365,2097.179443,2539.871826,2838.076904,2164.102539,1921.153809,2224.487061,2150.256348,2023.589722,2508.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.922168,1679400077.922652,66.000000,0.000000,2125.769287,2178.461426,2295.512939,2142.692383,2022.435913,1954.359009,2112.820557,2579.102539,2853.974365,2214.871826,1965.128174,2259.615479,2209.230713,2048.974365,2513.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.929976,1679400077.930460,67.000000,0.000000,2157.051270,2186.794922,2306.538574,2164.358887,2035.897461,1968.717896,2125.641113,2587.307617,2825.641113,2216.794922,1968.461548,2270.000000,2210.000000,2056.025635,2478.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.937784,1679400077.938368,68.000000,0.000000,2169.358887,2190.128174,2323.974365,2180.128174,2065.000000,1995.640991,2136.923096,2586.025635,2797.948730,2213.076904,1971.282104,2280.641113,2191.666748,2075.897461,2498.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,17.000000,0.000000,0.011845,0.620361,-0.055115,0.782288,1.455256,1.285802,0.536198,-41.675457,14.816243,43.194893
1679400077.945593,1679400077.946177,69.000000,0.000000,2188.333252,2210.000000,2343.333252,2200.384521,2086.538574,2018.974365,2151.538574,2611.025635,2819.871826,2269.615479,2016.282104,2307.435791,2230.512939,2106.666748,2403.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.953401,1679400077.954085,70.000000,0.000000,2203.589844,2225.512939,2350.256348,2214.615479,2084.487061,2026.025635,2164.615479,2622.820557,2806.794922,2278.974365,2032.692261,2322.948730,2266.538574,2118.974365,2434.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400077.961209,1679400077.961894,71.000000,0.000000,2203.589844,2221.538574,2354.743652,2224.102539,2082.179443,2034.230713,2170.128174,2610.000000,2761.025635,2241.923096,2012.179443,2325.512939,2266.410156,2121.281982,2409.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
